% Moku:Go Data Logger
% Input A (on)
% Input B (on)
% Acquisition rate: 1.0000000000e+02 Hz, Precision mode
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% 
% Acquired 2026-01-28 T 16:05:06 -0500
% Time (s), Input A (V), Input B (V)
0.0000000000e+00, 5.5969453277e-01, 1.4121752121e+00
1.0000000000e-02, 5.5981312193e-01, 1.4118310753e+00
2.0000000000e-02, 5.5983272525e-01, 1.4118035306e+00
3.0000000000e-02, 5.5996579022e-01, 1.4112586083e+00
4.0000000000e-02, 5.6005092554e-01, 1.4106587529e+00
5.0000000000e-02, 5.6011845851e-01, 1.4104382390e+00
6.0000000000e-02, 5.6026909456e-01, 1.4100379498e+00
7.0000000000e-02, 5.6027109554e-01, 1.4093428291e+00
8.0000000000e-02, 5.6040734957e-01, 1.4093766269e+00
9.0000000000e-02, 5.6047291283e-01, 1.4087778345e+00
1.0000000000e-01, 5.6057643213e-01, 1.4092968067e+00
1.1000000000e-01, 5.6069108186e-01, 1.4091352590e+00
1.2000000000e-01, 5.6072910042e-01, 1.4087101452e+00
1.3000000000e-01, 5.6082933686e-01, 1.4091507979e+00
1.4000000000e-01, 5.6089483760e-01, 1.4090727285e+00
1.5000000000e-01, 5.6103440574e-01, 1.4093506142e+00
1.6000000000e-01, 5.6111303789e-01, 1.4095472727e+00
1.7000000000e-01, 5.6118707404e-01, 1.4099306161e+00
1.8000000000e-01, 5.6125101151e-01, 1.4098116518e+00
1.9000000000e-01, 5.6133974233e-01, 1.4101641364e+00
2.0000000000e-01, 5.6146905547e-01, 1.4102966699e+00
2.1000000000e-01, 5.6153446241e-01, 1.4104216059e+00
2.2000000000e-01, 5.6164507892e-01, 1.4106197964e+00
2.3000000000e-01, 5.6167249856e-01, 1.4104735688e+00
2.4000000000e-01, 5.6179774721e-01, 1.4107803748e+00
2.5000000000e-01, 5.6189054252e-01, 1.4108035424e+00
2.6000000000e-01, 5.6195591819e-01, 1.4105159332e+00
2.7000000000e-01, 5.6210305253e-01, 1.4107999781e+00
2.8000000000e-01, 5.6210305253e-01, 1.4105992551e+00
2.9000000000e-01, 5.6224662263e-01, 1.4106310206e+00
3.0000000000e-01, 5.6231199831e-01, 1.4105234681e+00
3.1000000000e-01, 5.6240838912e-01, 1.4108498775e+00
3.2000000000e-01, 5.6253004227e-01, 1.4101628858e+00
3.3000000000e-01, 5.6256105741e-01, 1.4104187920e+00
3.4000000000e-01, 5.6266807842e-01, 1.4101634173e+00
3.5000000000e-01, 5.6273345409e-01, 1.4096375355e+00
3.6000000000e-01, 5.6286636274e-01, 1.4096750226e+00
3.7000000000e-01, 5.6295149806e-01, 1.4092242087e+00
3.8000000000e-01, 5.6301903103e-01, 1.4091279742e+00
3.9000000000e-01, 5.6308959673e-01, 1.4089278140e+00
4.0000000000e-01, 5.6317169932e-01, 1.4087766777e+00
4.1000000000e-01, 5.6330757817e-01, 1.4082151535e+00
4.2000000000e-01, 5.6337501735e-01, 1.4081498404e+00
4.3000000000e-01, 5.6347700464e-01, 1.4081818248e+00
4.4000000000e-01, 5.6351292844e-01, 1.4083252698e+00
4.5000000000e-01, 5.6362967294e-01, 1.4079249493e+00
4.6000000000e-01, 5.6373081607e-01, 1.4081235150e+00
