% Moku:Go Data Logger
% Input A (on)
% Input B (on)
% Acquisition rate: 2.0000000000e+02 Hz, Precision mode
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% 
% Acquired 2026-01-28 T 17:03:46 -0500
% Time (s), Input A (V), Input B (V)
0.0000000000e+00, 1.4961082567e+00, 1.4008825107e+00
5.0000000000e-03, 1.4984479616e+00, 1.4038705947e+00
1.0000000000e-02, 1.4996878795e+00, 1.4065571565e+00
1.5000000000e-02, 1.4998133158e+00, 1.4101333401e+00
2.0000000000e-02, 1.4988557232e+00, 1.4128950011e+00
2.5000000000e-02, 1.4967852122e+00, 1.4155546122e+00
3.0000000000e-02, 1.4936147267e+00, 1.4178526718e+00
3.5000000000e-02, 1.4893474556e+00, 1.4203566444e+00
4.0000000000e-02, 1.4839830863e+00, 1.4233456038e+00
4.5000000000e-02, 1.4775272466e+00, 1.4257966756e+00
5.0000000000e-02, 1.4699922550e+00, 1.4283288495e+00
5.5000000000e-02, 1.4613786117e+00, 1.4313849667e+00
6.0000000000e-02, 1.4516818146e+00, 1.4339434034e+00
6.5000000000e-02, 1.4409210604e+00, 1.4362335216e+00
7.0000000000e-02, 1.4291076672e+00, 1.4385730389e+00
7.5000000000e-02, 1.4162317553e+00, 1.4413639016e+00
8.0000000000e-02, 1.4023277789e+00, 1.4440752255e+00
8.5000000000e-02, 1.3873817312e+00, 1.4464510730e+00
9.0000000000e-02, 1.3714268158e+00, 1.4491986646e+00
9.5000000000e-02, 1.3544531531e+00, 1.4521572967e+00
1.0000000000e-01, 1.3364936965e+00, 1.4543088473e+00
1.0500000000e-01, 1.3175443191e+00, 1.4561351140e+00
1.1000000000e-01, 1.2976284072e+00, 1.4581946821e+00
1.1500000000e-01, 1.2767644074e+00, 1.4607544320e+00
1.2000000000e-01, 1.2549541956e+00, 1.4631289664e+00
1.2500000000e-01, 1.2322246599e+00, 1.4644757490e+00
1.3000000000e-01, 1.2085903700e+00, 1.4673032546e+00
1.3500000000e-01, 1.1840685842e+00, 1.4698528745e+00
1.4000000000e-01, 1.1586737471e+00, 1.4722021465e+00
1.4500000000e-01, 1.1324278695e+00, 1.4740282882e+00
1.5000000000e-01, 1.1053499607e+00, 1.4758868207e+00
1.5500000000e-01, 1.0774592799e+00, 1.4774125656e+00
1.6000000000e-01, 1.0487773379e+00, 1.4787156394e+00
1.6500000000e-01, 1.0193243943e+00, 1.4810263301e+00
1.7000000000e-01, 9.8912252263e-01, 1.4824618436e+00
1.7500000000e-01, 9.5819342084e-01, 1.4844371831e+00
1.8000000000e-01, 9.2656022526e-01, 1.4862576970e+00
1.8500000000e-01, 8.9424538435e-01, 1.4880635162e+00
1.9000000000e-01, 8.6127372273e-01, 1.4899611302e+00
1.9500000000e-01, 8.2766856430e-01, 1.4915743554e+00
2.0000000000e-01, 7.9345504632e-01, 1.4931066661e+00
2.0500000000e-01, 7.5865874378e-01, 1.4942155200e+00
2.1000000000e-01, 7.2330410613e-01, 1.4955192816e+00
2.1500000000e-01, 6.8741952222e-01, 1.4970645361e+00
2.2000000000e-01, 6.5102906630e-01, 1.4981361219e+00
2.2500000000e-01, 6.1415862603e-01, 1.4990647628e+00
2.3000000000e-01, 5.7683765327e-01, 1.5001674887e+00
2.3500000000e-01, 5.3909172301e-01, 1.5010965048e+00
2.4000000000e-01, 5.0095328861e-01, 1.5018577515e+00
2.4500000000e-01, 4.6244336032e-01, 1.5026852181e+00
2.5000000000e-01, 4.2359295328e-01, 1.5033777437e+00
2.5500000000e-01, 3.8443233227e-01, 1.5039927940e+00
2.6000000000e-01, 3.4499107424e-01, 1.5047449112e+00
2.6500000000e-01, 3.0529381621e-01, 1.5052099508e+00
2.7000000000e-01, 2.6537082295e-01, 1.5055068458e+00
2.7500000000e-01, 2.2525692399e-01, 1.5060375424e+00
2.8000000000e-01, 1.8497394247e-01, 1.5063968428e+00
2.8500000000e-01, 1.4455620765e-01, 1.5066512796e+00
2.9000000000e-01, 1.0403385925e-01, 1.5068246142e+00
2.9500000000e-01, 6.3432659847e-02, 1.5069135951e+00
3.0000000000e-01, 2.2784312426e-02, 1.5072149298e+00
3.0500000000e-01, -1.7877479060e-02, 1.5070282761e+00
3.1000000000e-01, -5.8528202641e-02, 1.5071907305e+00
3.1500000000e-01, -9.9137843663e-02, 1.5070866171e+00
3.2000000000e-01, -1.3967088478e-01, 1.5068513773e+00
3.2500000000e-01, -1.8010268897e-01, 1.5064774447e+00
3.3000000000e-01, -2.2040342917e-01, 1.5063508829e+00
3.3500000000e-01, -2.6053977659e-01, 1.5059587539e+00
3.4000000000e-01, -3.0048690663e-01, 1.5056479772e+00
3.4500000000e-01, -3.4021280365e-01, 1.5052896772e+00
3.5000000000e-01, -3.7968807829e-01, 1.5048816655e+00
3.5500000000e-01, -4.1888202807e-01, 1.5042684911e+00
3.6000000000e-01, -4.5777189187e-01, 1.5033955024e+00
3.6500000000e-01, -4.9632446599e-01, 1.5027356802e+00
3.7000000000e-01, -5.3451048613e-01, 1.5019236587e+00
3.7500000000e-01, -5.7230418971e-01, 1.5008510100e+00
3.8000000000e-01, -6.0967750052e-01, 1.5002200144e+00
3.8500000000e-01, -6.4660384309e-01, 1.4994870940e+00
3.9000000000e-01, -6.8305445338e-01, 1.4980884736e+00
3.9500000000e-01, -7.1900200554e-01, 1.4966002469e+00
4.0000000000e-01, -7.5442042434e-01, 1.4954232347e+00
4.0500000000e-01, -7.8928613576e-01, 1.4942224609e+00
4.1000000000e-01, -8.2357112614e-01, 1.4928070823e+00
4.1500000000e-01, -8.5725107109e-01, 1.4915160145e+00
4.2000000000e-01, -8.9030058322e-01, 1.4899284268e+00
4.2500000000e-01, -9.2269602598e-01, 1.4876515025e+00
4.3000000000e-01, -9.5441244970e-01, 1.4858403682e+00
