% Moku:Go Data Logger
% Input A (on)
% Input B (on)
% Acquisition rate: 2.0000000000e+02 Hz, Precision mode
% Output A (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% 
% Acquired 2026-01-28 T 17:08:29 -0500
% Time (s), Input A (V), Input B (V)
0.0000000000e+00, 9.4108312887e-01, 1.4760231998e+00
5.0000000000e-03, 9.0888915948e-01, 1.4774533981e+00
1.0000000000e-02, 8.7601929757e-01, 1.4794284249e+00
1.5000000000e-02, 8.4249811764e-01, 1.4813668714e+00
2.0000000000e-02, 8.0835156987e-01, 1.4829751567e+00
2.5000000000e-02, 7.7360285306e-01, 1.4847720966e+00
3.0000000000e-02, 7.3827797994e-01, 1.4863246672e+00
3.5000000000e-02, 7.0240558948e-01, 1.4882976930e+00
4.0000000000e-02, 6.6600944329e-01, 1.4900368547e+00
4.5000000000e-02, 6.2911918084e-01, 1.4915804209e+00
5.0000000000e-02, 5.9176281579e-01, 1.4928825567e+00
5.5000000000e-02, 5.5396373459e-01, 1.4941736871e+00
6.0000000000e-02, 5.1575282730e-01, 1.4952029397e+00
6.5000000000e-02, 4.7715967087e-01, 1.4966603388e+00
7.0000000000e-02, 4.3821290428e-01, 1.4979893627e+00
7.5000000000e-02, 3.9893785240e-01, 1.4989911644e+00
8.0000000000e-02, 3.5936596809e-01, 1.4998210696e+00
8.5000000000e-02, 3.1952989227e-01, 1.5007790998e+00
9.0000000000e-02, 2.7945413693e-01, 1.5015330930e+00
9.5000000000e-02, 2.3916852913e-01, 1.5022514438e+00
1.0000000000e-01, 1.9870852367e-01, 1.5029095151e+00
1.0500000000e-01, 1.5810069603e-01, 1.5034392112e+00
1.1000000000e-01, 1.1737293483e-01, 1.5039337027e+00
1.1500000000e-01, 7.6559569340e-02, 1.5046998893e+00
1.2000000000e-01, 3.5689238531e-02, 1.5053965419e+00
1.2500000000e-01, -5.2092310180e-03, 1.5057902341e+00
1.3000000000e-01, -4.6101510044e-02, 1.5062749083e+00
1.3500000000e-01, -8.6960397766e-02, 1.5064258570e+00
1.4000000000e-01, -1.2775644230e-01, 1.5065050207e+00
1.4500000000e-01, -1.6845475162e-01, 1.5066594711e+00
1.5000000000e-01, -2.0902831252e-01, 1.5067512659e+00
1.5500000000e-01, -2.4944748555e-01, 1.5068606318e+00
1.6000000000e-01, -2.8968200591e-01, 1.5066270803e+00
1.6500000000e-01, -3.2969848230e-01, 1.5066814818e+00
1.7000000000e-01, -3.6947171493e-01, 1.5062348262e+00
1.7500000000e-01, -4.0897081371e-01, 1.5059080417e+00
1.8000000000e-01, -4.4816269998e-01, 1.5056515414e+00
1.8500000000e-01, -4.8702411239e-01, 1.5053569601e+00
1.9000000000e-01, -5.2552328543e-01, 1.5047717994e+00
1.9500000000e-01, -5.6363145506e-01, 1.5043717290e+00
2.0000000000e-01, -6.0131823143e-01, 1.5037325419e+00
2.0500000000e-01, -6.3856054078e-01, 1.5030973568e+00
2.1000000000e-01, -6.7532780568e-01, 1.5023499293e+00
2.1500000000e-01, -7.1159338812e-01, 1.5015103319e+00
2.2000000000e-01, -7.4732839900e-01, 1.5003914106e+00
2.2500000000e-01, -7.8250720080e-01, 1.4993667227e+00
2.3000000000e-01, -8.1710546914e-01, 1.4984659704e+00
2.3500000000e-01, -8.5109619084e-01, 1.4971983515e+00
2.4000000000e-01, -8.8445385343e-01, 1.4959387364e+00
2.4500000000e-01, -9.1715419506e-01, 1.4946863124e+00
2.5000000000e-01, -9.4917214101e-01, 1.4929635337e+00
2.5500000000e-01, -9.8048417978e-01, 1.4916746544e+00
2.6000000000e-01, -1.0110678004e+00, 1.4901052006e+00
2.6500000000e-01, -1.0408986784e+00, 1.4880249974e+00
2.7000000000e-01, -1.0699564915e+00, 1.4858780116e+00
2.7500000000e-01, -1.0982190413e+00, 1.4841971283e+00
2.8000000000e-01, -1.1256639419e+00, 1.4827253472e+00
2.8500000000e-01, -1.1522739348e+00, 1.4803683839e+00
2.9000000000e-01, -1.1780234450e+00, 1.4785456814e+00
2.9500000000e-01, -1.2028993412e+00, 1.4773153307e+00
3.0000000000e-01, -1.2268804880e+00, 1.4756343849e+00
3.0500000000e-01, -1.2499501898e+00, 1.4740597411e+00
3.1000000000e-01, -1.2720903752e+00, 1.4721408041e+00
3.1500000000e-01, -1.2932810970e+00, 1.4699865022e+00
3.2000000000e-01, -1.3135151642e+00, 1.4669516454e+00
3.2500000000e-01, -1.3327708788e+00, 1.4652179864e+00
3.3000000000e-01, -1.3510333583e+00, 1.4628033699e+00
3.3500000000e-01, -1.3682979756e+00, 1.4606029205e+00
3.4000000000e-01, -1.3845340907e+00, 1.4582823499e+00
3.4500000000e-01, -1.3997530217e+00, 1.4563984300e+00
3.5000000000e-01, -1.4139191261e+00, 1.4545589694e+00
3.5500000000e-01, -1.4270447850e+00, 1.4524181116e+00
3.6000000000e-01, -1.4391031728e+00, 1.4500961028e+00
3.6500000000e-01, -1.4500904125e+00, 1.4464898420e+00
3.7000000000e-01, -1.4600072546e+00, 1.4448447887e+00
3.7500000000e-01, -1.4688305003e+00, 1.4419614434e+00
3.8000000000e-01, -1.4765597117e+00, 1.4396234893e+00
3.8500000000e-01, -1.4831991411e+00, 1.4372227546e+00
3.9000000000e-01, -1.4887348440e+00, 1.4348979945e+00
3.9500000000e-01, -1.4931643193e+00, 1.4323074796e+00
4.0000000000e-01, -1.4964810637e+00, 1.4297065847e+00
4.0500000000e-01, -1.4986839518e+00, 1.4266848593e+00
4.1000000000e-01, -1.4997686690e+00, 1.4238911827e+00
4.1500000000e-01, -1.4997449699e+00, 1.4213797064e+00
4.2000000000e-01, -1.4986037877e+00, 1.4186044763e+00
4.2500000000e-01, -1.4963482489e+00, 1.4164764373e+00
4.3000000000e-01, -1.4929778532e+00, 1.4139525800e+00
4.3500000000e-01, -1.4884984160e+00, 1.4113278609e+00
4.4000000000e-01, -1.4829100624e+00, 1.4075591457e+00
4.4500000000e-01, -1.4762185451e+00, 1.4047493988e+00
4.5000000000e-01, -1.4684379961e+00, 1.4021351849e+00
4.5500000000e-01, -1.4595624750e+00, 1.3997086876e+00
4.6000000000e-01, -1.4495947955e+00, 1.3969532797e+00
4.6500000000e-01, -1.4385566559e+00, 1.3943818366e+00
4.7000000000e-01, -1.4264479311e+00, 1.3920860907e+00
4.7500000000e-01, -1.4132723728e+00, 1.3890560487e+00
4.8000000000e-01, -1.3990562440e+00, 1.3871876989e+00
4.8500000000e-01, -1.3837891645e+00, 1.3846917928e+00
4.9000000000e-01, -1.3675035252e+00, 1.3820543174e+00
4.9500000000e-01, -1.3501922601e+00, 1.3793311753e+00
5.0000000000e-01, -1.3318816321e+00, 1.3766730649e+00
5.0500000000e-01, -1.3125800827e+00, 1.3745413366e+00
5.1000000000e-01, -1.2923001806e+00, 1.3719977821e+00
5.1500000000e-01, -1.2710636239e+00, 1.3694284026e+00
5.2000000000e-01, -1.2488792919e+00, 1.3666693679e+00
5.2500000000e-01, -1.2257666317e+00, 1.3639572937e+00
5.3000000000e-01, -1.2017425889e+00, 1.3618472009e+00
5.3500000000e-01, -1.1768238593e+00, 1.3596344330e+00
5.4000000000e-01, -1.1510343295e+00, 1.3573498174e+00
5.4500000000e-01, -1.1243841295e+00, 1.3554030544e+00
5.5000000000e-01, -1.0969002724e+00, 1.3531847838e+00
5.5500000000e-01, -1.0685993914e+00, 1.3508316973e+00
5.6000000000e-01, -1.0395044352e+00, 1.3494449577e+00
5.6500000000e-01, -1.0096375395e+00, 1.3472995352e+00
5.7000000000e-01, -9.7901890182e-01, 1.3449959104e+00
5.7500000000e-01, -9.4767278391e-01, 1.3436784546e+00
5.8000000000e-01, -9.1562213450e-01, 1.3419576769e+00
5.8500000000e-01, -8.8289034001e-01, 1.3399902788e+00
5.9000000000e-01, -8.4950184987e-01, 1.3377927058e+00
5.9500000000e-01, -8.1548186388e-01, 1.3362329442e+00
6.0000000000e-01, -7.8085626970e-01, 1.3345111660e+00
6.0500000000e-01, -7.4564970434e-01, 1.3330198753e+00
6.1000000000e-01, -7.0988911848e-01, 1.3311160708e+00
6.1500000000e-01, -6.7359914913e-01, 1.3296196526e+00
6.2000000000e-01, -6.3680887299e-01, 1.3285645124e+00
6.2500000000e-01, -5.9954499061e-01, 1.3264803698e+00
6.3000000000e-01, -5.6183776675e-01, 1.3253950899e+00
6.3500000000e-01, -5.2371015013e-01, 1.3237699213e+00
6.4000000000e-01, -4.8519321842e-01, 1.3229712189e+00
6.4500000000e-01, -4.4631598578e-01, 1.3215269512e+00
6.5000000000e-01, -4.0710852941e-01, 1.3205899937e+00
6.5500000000e-01, -3.6759554885e-01, 1.3199275452e+00
6.6000000000e-01, -3.2781012277e-01, 1.3191825565e+00
6.6500000000e-01, -2.8778364149e-01, 1.3179088721e+00
6.7000000000e-01, -2.4753874106e-01, 1.3173369678e+00
6.7500000000e-01, -2.0711156413e-01, 1.3163344158e+00
6.8000000000e-01, -1.6653212536e-01, 1.3158109727e+00
6.8500000000e-01, -1.2582793817e-01, 1.3151452102e+00
6.9000000000e-01, -8.5028141801e-02, 1.3149003406e+00
6.9500000000e-01, -4.4167690815e-02, 1.3141440963e+00
7.0000000000e-01, -3.2737859957e-03, 1.3134006708e+00
