file,f_Hz,A_TD_V,A_TD_SEM_V,delta_TD_rad,delta_TD_SEM_rad,A_Fourier_V,A_Fourier_SEM_V,delta_Fourier_rad,delta_Fourier_SEM_rad,Hmag_VperV
500mHz(in).csv,0.5,0.012071098841451388,5.5858027737104334e-05,6.167062677848117,0.005736131532732839,0.012092428839386653,0.00036629099153324664,6.16841954624825,0.006807093751569258,0.008059123696783275
550mHz(in).csv,0.55,0.014726240063363828,8.219716724308512e-05,6.132804855966178,0.003789201301214525,0.014483686759243686,0.00029768540163680244,6.130219649541415,0.008135613928915745,0.009835655906484124
600mHz(in).csv,0.6,0.016194786208821588,0.00016612302533825705,6.106593266348307,0.004838700304210354,0.01597467081076627,0.0002950877010682954,6.1060739605871746,0.011733907818184317,0.010796988299460299
650mHz(in).csv,0.65,0.019638327232466658,9.831091217007164e-05,6.065988302757513,0.0007049941340941898,0.019633537168015667,9.802357456790667e-05,6.065976229193888,0.0007056206936636754,0.013086921133530192
700mHz(in).csv,0.7,0.025170244131286473,4.724395378007443e-05,6.009138110542052,0.002979627123698822,0.02545234021723757,0.0002457305890159246,6.01315273795173,0.006194604938709971,0.01693865903189146
750mHz(in).csv,0.75,0.03357965667568713,0.0002180345893057428,5.912316148849737,0.00610463685006351,0.03370515984931974,0.0004756803689969418,5.919859524091397,0.006237900829941519,0.022146265822227923
800mHz(in).csv,0.8,0.05256687745480179,0.0008393200536057839,5.703867357409078,0.005851724072155254,0.0530426820636916,0.0016531245520702157,5.713393974475195,0.017535364291774626,0.035597641048626574
850mHz(in).csv,0.85,0.09166212706414864,5.203884544182137e-05,5.029495545010256,0.001158279530141343,0.09101791362645324,7.034439046045228e-05,5.044544511044722,0.002488324995486726,0.061965404406032314
900mHz(in).csv,0.9,0.07037453028149146,0.00016776928221261023,3.8975990964480074,0.0010867170240518532,0.07037870165543696,0.0009585957409474443,3.9019844468633407,0.01949861989031235,0.047460485880590556
950mHz(in).csv,0.95,0.03737117742987733,0.00016584018101919797,3.4781851302266986,0.0034905649314265325,0.03654802345993138,0.00044354128874075997,3.4824619976901605,0.009723461731981062,0.024813299999401368
1000mHz(in).csv,1.0,0.025187355794204235,5.312412769957785e-05,3.329672958610352,0.0029203671003406777,0.024970319913293893,0.0003369645582780697,3.3313460620611752,0.006550709522882304,0.016726621120401127
1050mHz(in).csv,1.05,0.01692427784461727,7.841890612989645e-05,3.2556391171960577,0.005836697145655508,0.016607009253886633,0.00017560327256776586,3.2563385790642214,0.005962783739241151,0.011268731116167404
1100mHz(in).csv,1.1,0.01458979329727741,2.841616223303301e-05,3.2119591198477244,0.004043135895817476,0.014368336647521776,0.00017545651008818832,3.2119518723389175,0.003919484793201535,0.009735964381863318
1150mHz(in).csv,1.15,0.010889594763130433,6.918072053875346e-05,3.1776341988770596,0.009484407846815103,0.010872687210097478,0.0002174681246356641,3.1755169887550467,0.007844018284336575,0.007262403707539141
1200mHz(in).csv,1.2,0.010118784594587715,5.260316879909003e-05,3.146244619483454,0.0038266734978876903,0.01011022702541048,0.0001195700699290712,3.1462810722900945,0.003723035673410613,0.0067484750652457345
